Date,Open,High,Low,Close,Volume
05/07/2025,"1,501.30","1,518.75","1,495.05","1,508.50","109,324"
05/06/2025,"1,509.00","1,515.50","1,499.10","1,511.30","94,902"
05/05/2025,"1,507.35","1,522.45","1,502.75","1,507.70","105,684"
05/02/2025,"1,504.95","1,523.70","1,496.40","1,506.45","92,930"
04/30/2025,"1,497.40","1,508.00","1,486.00","1,498.90","119,269"
04/29/2025,"1,482.20","1,509.60","1,474.50","1,497.40","398,565"
04/28/2025,"1,483.00","1,488.70","1,465.30","1,482.20","532,448"
04/25/2025,"1,474.10","1,501.50","1,464.00","1,480.20","236,153"
04/24/2025,"1,474.75","1,483.00","1,461.15","1,471.30","179,407"
04/23/2025,"1,447.35","1,487.85","1,441.55","1,474.85","329,800"
04/22/2025,"1,448.95","1,448.95","1,419.60","1,422.40","391,747"
04/21/2025,"1,409.00","1,471.50","1,409.00","1,450.45","592,543"
04/17/2025,"1,404.85","1,429.40","1,378.60","1,420.20","771,330"
04/16/2025,"1,429.95","1,429.95","1,396.95","1,413.00","345,038"
04/15/2025,"1,440.40","1,447.00","1,409.10","1,427.25","383,484"
04/11/2025,"1,414.65","1,438.55","1,397.65","1,410.60","493,400"
04/09/2025,"1,408.20","1,408.20","1,381.35","1,404.20","263,142"
04/08/2025,"1,427.00","1,456.50","1,415.00","1,429.30","415,932"
04/07/2025,"1,350.00","1,406.85","1,307.10","1,397.80","1,050,658"
04/04/2025,"1,466.95","1,472.00","1,448.00","1,452.30","353,376"
04/03/2025,"1,522.90","1,530.00","1,485.10","1,497.00","293,518"
04/02/2025,"1,531.50","1,555.50","1,531.50","1,549.85","136,844"
04/01/2025,"1,535.10","1,547.70","1,518.00","1,527.50","265,555"
03/28/2025,"1,594.95","1,597.80","1,565.05","1,570.40","229,420"
03/27/2025,"1,595.60","1,620.00","1,586.40","1,603.55","158,837"
03/26/2025,"1,630.00","1,637.80","1,595.00","1,598.15","134,262"
03/25/2025,"1,603.00","1,635.90","1,603.00","1,631.70","232,600"
03/24/2025,"1,598.30","1,606.55","1,572.55","1,592.20","274,520"
03/21/2025,"1,580.00","1,603.55","1,564.15","1,592.60","91,843"
03/20/2025,"1,592.95","1,631.00","1,592.95","1,614.15","155,196"
03/19/2025,"1,608.75","1,608.75","1,572.60","1,586.55","108,452"
03/18/2025,"1,596.30","1,612.70","1,582.05","1,608.80","137,751"
03/17/2025,"1,555.00","1,594.00","1,551.00","1,590.55","65,835"
03/13/2025,"1,597.50","1,606.60","1,571.00","1,579.25","99,375"
03/12/2025,"1,639.65","1,639.65","1,564.15","1,589.60","186,559"
03/11/2025,"1,682.95","1,682.95","1,637.05","1,660.60","184,062"
03/10/2025,"1,689.95","1,718.80","1,676.80","1,702.75","81,295"
03/07/2025,"1,704.95","1,704.95","1,675.80","1,685.75","66,194"
03/06/2025,"1,718.65","1,721.15","1,691.00","1,713.20","92,840"
03/05/2025,"1,690.05","1,732.30","1,690.05","1,710.80","126,336"
03/04/2025,"1,699.95","1,699.95","1,670.00","1,689.70","124,480"
03/03/2025,"1,688.40","1,728.45","1,688.40","1,708.10","695,948"
02/28/2025,"1,754.10","1,754.45","1,682.80","1,688.05","113,082"
02/27/2025,"1,758.20","1,775.90","1,751.15","1,764.20","80,318"
02/25/2025,"1,751.50","1,778.45","1,749.15","1,768.20","299,475"
02/24/2025,"1,809.80","1,809.80","1,750.00","1,764.15","200,716"
02/21/2025,"1,828.75","1,828.75","1,806.50","1,815.15","900,230"
02/20/2025,"1,800.30","1,830.50","1,800.30","1,823.45","118,255"
02/19/2025,"1,845.95","1,848.90","1,807.00","1,810.80","76,054"
02/18/2025,"1,840.60","1,861.00","1,838.00","1,851.50","169,092"
02/17/2025,"1,848.00","1,850.05","1,823.00","1,842.60","106,879"
02/14/2025,"1,852.50","1,859.00","1,828.05","1,856.30","132,900"
02/13/2025,"1,865.50","1,873.50","1,835.15","1,843.25","149,469"
02/12/2025,"1,876.85","1,894.50","1,846.25","1,863.75","649,652"
02/11/2025,"1,879.30","1,902.55","1,869.70","1,876.80","694,809"
02/10/2025,"1,908.50","1,908.50","1,878.25","1,879.20","204,511"
02/07/2025,"1,880.20","1,921.00","1,880.20","1,902.75","141,726"
02/06/2025,"1,920.00","1,922.65","1,900.05","1,915.95","107,219"
02/05/2025,"1,907.90","1,919.10","1,894.55","1,897.10","189,137"
02/04/2025,"1,887.00","1,911.40","1,875.00","1,899.25","386,977"
02/03/2025,"1,839.95","1,876.50","1,832.80","1,863.85","130,888"
01/31/2025,"1,864.10","1,896.15","1,864.10","1,880.05","218,826"
01/30/2025,"1,878.95","1,885.95","1,844.95","1,859.85","98,815"
