Date,Open,High,Low,Close,Volume
05/02/2025,"529.50","543.70","523.05","524.90","461,768"
04/30/2025,"550.00","551.95","526.35","531.95","656,540"
04/29/2025,"559.40","562.00","546.55","548.65","234,260"
04/28/2025,"548.60","557.25","541.60","552.60","468,538"
04/25/2025,"576.00","585.50","545.00","549.15","688,916"
04/24/2025,"581.85","584.60","571.20","575.70","442,211"
04/23/2025,"577.75","584.00","574.10","579.55","327,818"
04/22/2025,"574.00","579.50","569.00","573.20","323,823"
04/21/2025,"550.40","585.00","549.20","568.95","768,681"
04/17/2025,"546.05","561.40","542.25","549.60","490,595"
04/16/2025,"544.15","547.35","538.25","545.40","393,286"
04/15/2025,"525.85","554.55","522.55","542.30","658,668"
04/11/2025,"519.00","524.35","514.30","518.10","598,567"
04/09/2025,"513.00","513.95","505.00","508.50","337,306"
04/08/2025,"526.30","526.30","508.00","513.70","448,725"
04/07/2025,"513.95","515.25","472.05","510.95","678,752"
04/04/2025,"527.50","539.80","521.95","532.50","605,645"
04/03/2025,"510.00","538.00","507.60","528.60","1,370,577"
04/02/2025,"511.00","517.70","502.25","513.60","449,493"
04/01/2025,"508.65","513.20","502.00","504.70","189,515"
03/28/2025,"521.05","525.50","508.00","509.20","492,155"
03/27/2025,"495.95","523.90","493.00","519.65","620,613"
03/26/2025,"509.70","515.90","496.00","497.80","638,393"
03/25/2025,"527.00","528.65","505.00","507.90","598,055"
03/24/2025,"527.95","537.65","521.95","524.20","506,265"
03/21/2025,"521.55","541.25","518.00","522.45","547,615"
03/20/2025,"526.00","527.40","514.50","519.45","373,602"
03/19/2025,"516.60","526.80","514.05","521.15","535,354"
03/18/2025,"515.55","518.60","510.30","516.30","259,837"
03/17/2025,"512.00","518.00","508.70","510.70","250,342"
03/13/2025,"518.95","527.15","510.00","511.95","550,221"
03/12/2025,"515.20","520.50","506.00","512.45","540,969"
03/11/2025,"501.10","513.35","498.00","510.40","659,080"
03/10/2025,"507.60","535.00","502.00","505.05","1,384,182"
03/07/2025,"506.95","511.40","499.10","506.15","299,809"
03/06/2025,"508.50","510.40","500.25","503.00","581,375"
03/05/2025,"483.30","511.80","483.30","505.55","1,173,125"
03/04/2025,"482.95","488.25","476.15","483.55","225,284"
03/03/2025,"486.20","496.45","474.20","483.00","607,827"
02/28/2025,"493.05","501.50","473.00","478.75","692,008"
02/27/2025,"502.70","512.30","490.80","497.45","825,852"
02/25/2025,"471.90","514.75","466.15","497.70","2,275,913"
02/24/2025,"478.00","478.20","468.00","470.15","359,854"
02/21/2025,"484.50","489.75","475.50","478.80","424,238"
02/20/2025,"479.45","494.95","477.50","484.65","550,009"
02/19/2025,"478.10","488.60","472.50","482.55","526,461"
02/18/2025,"492.95","494.40","481.70","484.85","424,055"
02/17/2025,"480.45","494.75","472.25","490.30","372,170"
02/14/2025,"499.05","501.80","484.10","487.95","270,507"
02/13/2025,"503.95","506.10","493.50","498.80","303,906"
02/12/2025,"500.95","504.80","482.55","501.60","956,861"
02/11/2025,"491.40","511.85","488.20","498.15","925,405"
02/10/2025,"496.90","499.00","488.10","491.30","246,658"
02/07/2025,"505.75","507.40","491.25","493.95","570,687"
02/06/2025,"509.60","511.00","501.50","503.60","166,210"
02/05/2025,"511.20","515.70","503.00","505.35","411,311"
02/04/2025,"512.40","513.70","501.30","506.55","414,862"
02/03/2025,"509.95","515.75","498.35","502.30","224,979"
01/31/2025,"504.80","516.40","504.50","513.25","512,185"
01/30/2025,"523.05","524.90","505.65","509.00","311,191"
01/29/2025,"504.80","528.00","497.00","522.35","505,015"
01/28/2025,"496.95","506.55","483.05","497.10","348,199"
01/27/2025,"514.05","514.30","493.00","496.80","520,674"
01/24/2025,"526.90","528.90","509.00","514.90","332,771"
01/23/2025,"525.45","537.30","518.30","521.50","293,123"
01/22/2025,"529.65","533.00","513.40","525.25","503,117"
01/21/2025,"545.50","549.50","526.30","528.75","539,732"
01/20/2025,"551.65","554.00","538.80","544.05","362,623"
01/17/2025,"563.70","573.75","500.00","546.15","776,099"
01/16/2025,"583.30","599.90","556.50","562.75","1,286,224"
01/15/2025,"539.30","571.50","523.05","549.30","2,923,826"
01/14/2025,"458.00","540.15","458.00","539.15","5,875,276"
01/13/2025,"479.70","479.70","445.35","450.15","373,307"
01/10/2025,"497.05","501.95","478.50","481.90","263,111"
01/09/2025,"506.50","508.10","496.75","497.75","126,766"
01/08/2025,"511.75","515.05","500.25","504.40","354,199"
01/07/2025,"498.35","521.05","497.75","510.20","413,950"
01/06/2025,"519.95","520.00","493.50","497.95","538,908"
01/03/2025,"522.40","532.00","517.95","520.50","209,514"
01/02/2025,"529.00","529.10","520.35","521.70","351,182"
01/01/2025,"534.35","534.35","524.75","527.00","221,527"
12/31/2024,"535.45","537.20","523.40","529.15","543,958"
12/30/2024,"507.05","558.70","501.60","539.70","1,544,636"
12/27/2024,"510.05","513.65","504.25","506.95","586,918"
12/26/2024,"498.00","515.70","495.65","507.20","814,651"
12/24/2024,"505.35","509.85","495.00","496.05","241,156"
12/23/2024,"502.55","510.90","494.60","504.00","498,963"
12/20/2024,"510.35","527.00","492.00","498.45","782,180"
12/19/2024,"510.65","516.40","507.00","508.45","222,084"
12/18/2024,"524.05","529.80","517.65","521.10","490,029"
12/17/2024,"529.00","541.75","522.00","524.90","419,562"
12/16/2024,"538.15","539.00","522.50","529.00","558,171"
12/13/2024,"544.95","544.95","531.90","536.95","894,784"
12/12/2024,"519.25","561.85","513.30","540.05","2,787,355"
12/11/2024,"525.85","530.50","518.00","519.45","529,483"
12/10/2024,"537.65","538.50","522.90","527.25","220,936"
12/09/2024,"539.50","543.80","534.00","535.70","590,890"
12/06/2024,"540.00","546.00","534.30","536.25","262,814"
12/05/2024,"538.60","549.55","533.95","537.40","499,098"
12/04/2024,"546.05","548.35","535.00","537.50","845,763"
12/03/2024,"552.15","555.30","542.80","544.25","1,037,148"
12/02/2024,"564.70","566.00","543.25","549.00","837,874"
11/29/2024,"563.40","587.70","542.45","554.55","2,673,285"
11/28/2024,"535.05","583.75","532.05","560.20","5,422,408"
11/27/2024,"435.50","525.30","432.10","523.80","7,178,380"
11/26/2024,"450.00","455.65","433.25","437.75","1,966,194"
11/25/2024,"472.05","480.00","441.00","446.85","2,491,519"
